id_entidad,entidad_norm,nit_entidad,departamento,ciudad,orden,sector
33,SENA REGIONAL DISTRITO CAPITAL GRUPO ADMINISTRATIVO INTERCENTROS CEET,899999034,Distrito Capital de Bogotá,No Definido,Nacional,Trabajo
34,COMPRADOR ESE CARMEN EMILIA OSPINA PERFIL,8130052657,Huila,Neiva,Territorial,No aplica/No pertenece
35,SECRETARIA GENERAL Y DE CERCANIA AL CIUDADANO,899999114,Distrito Capital de Bogotá,Bogotá,Territorial,No aplica/No pertenece
36,EMPRESA SOCIAL DEL ESTADO E S E HOSPITAL REGIONAL NORTE,807008857,Norte de Santander,Tibú,Territorial,Salud y Protección Social
37,DEPARTAMENTO DE CORDOBA,800103935,Córdoba,Montería,Territorial,Servicio Público
38,ESAP TERRITORIAL QUINDIO RISARALDA,800117537,Risaralda,Pereira,Nacional,Educación Nacional
39,ADRES,901037916,Distrito Capital de Bogotá,No Definido,Nacional,Salud y Protección Social
40,INSTITUCION UNIVERSITARIA PASCUAL BRAVO COMPRADOR,8909801583,Antioquia,Medellín,Nacional,Educación Nacional
41,INSTITUTO COLOMBIANO PARA LA EVALUACION DE LA EDUCACION ICFES,860024301,Distrito Capital de Bogotá,Bogotá,Nacional,Educación Nacional
42,MUNICIPIO DE PUERTO TRIUNFO,890983906,Antioquia,Puerto Triunfo,Territorial,No aplica/No pertenece
43,EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO ADMINISTRADORA DEL MONOPOLIO RENTISTICO DE LOS JUEGOS DE SUERTE Y AZAR,900505060,Distrito Capital de Bogotá,Bogotá,Nacional,Hacienda y Crédito Público
44,MUNICIPIO DE SAN MIGUEL PUTUMAYO,800252922,Putumayo,San Miguel,Territorial,Servicio Público
45,GOBERNACION DEL DEPARTAMENTO DEL CESAR,892399999,Cesar,Valledupar,Territorial,Servicio Público
46,MINSALUD,900474727,Distrito Capital de Bogotá,No Definido,Nacional,Salud y Protección Social
47,INM,900494393,Distrito Capital de Bogotá,Bogotá,Nacional,No aplica/No pertenece
48,ICBF REGIONAL ATLANTICO,8999992392,Atlántico,Barranquilla,Nacional,Salud y Protección Social
49,ALCALDIA DEL MUNICIPIO DE AGUAZUL,891855200,Casanare,Aguazul,Territorial,No aplica/No pertenece
50,DANE DIRECCION TERRITORIAL CENTRO,899999027,Distrito Capital de Bogotá,Bogotá,Nacional,Información Estadística
51,IU DIGITAL,901168222,Antioquia,Medellín,Territorial,Educación Nacional
52,CGDNS,890501431,Norte de Santander,Cúcuta,Territorial,Servicio Público
53,CONSEJO PROFESIONAL NACIONAL DE ARQUITECTURA Y SUS PROFESIONES AUXILIARES,830059954,Distrito Capital de Bogotá,Bogotá,Nacional,"Vivienda, Ciudad y Territorio"
54,CORPORACION AUTONOMA REGIONAL DEL CAUCA 12,891501885,Cauca,Popayán,Nacional,Ambiente y Desarrollo Sostenible
55,SUPERINTENDENCIA NACIONAL DE SALUD,860062187,No Definido,No Definido,Nacional,Salud y Protección Social
56,UNP,900475780,Distrito Capital de Bogotá,Bogotá,Nacional,defensa
57,PROSPERIDAD SOCIAL,900039533,Distrito Capital de Bogotá,Bogotá,Nacional,Inclusión Social y Reconciliación
58,MUNICIPIO DE GUARNE,890982055,Antioquia,Guarne,Territorial,Servicio Público
59,IGAC SEDE CENTRAL,899999004,Distrito Capital de Bogotá,No Definido,Nacional,Información Estadística
60,MUNICIPIO DE EL DOVIO,891901223,Valle del Cauca,El Dovio,Territorial,Servicio Público
61,INSTITUTO COLOMBIANO DE CREDITO EDUCATIVO Y ESTUDIO TECNICOS EN EL EXTERIOR MARIANO OSPINA PEREZ,899999035,Distrito Capital de Bogotá,Bogotá,Nacional,Educación Nacional
62,SENA REGIONAL DISTRITO CAPITAL GRUPO ADMINISTRATIVO INTERCENTROS CGMLTI,899999034,Distrito Capital de Bogotá,Bogotá,Nacional,Trabajo
63,MINISTERIO DE AMBIENTE Y DESARROLLO SOSTENIBLE,830115395,Distrito Capital de Bogotá,Bogotá,Nacional,Ambiente y Desarrollo Sostenible
64,SENA REGIONAL CAUCA,899999034,Cauca,Popayán,Nacional,Trabajo
65,SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CA,899999034,Santander,San Gil,Nacional,Trabajo
66,MUNICIPIO DE SABANETA,890980331,Antioquia,Sabaneta,Territorial,No aplica/No pertenece
67,MINISTERIO DE MINAS Y ENERGIA,899999022,Distrito Capital de Bogotá,Bogotá,Nacional,Minas y Energía
68,INSTITUTO NACIONAL DE VIGILANCIA DE MEDICAMENTOS Y ALIMENTOS,830000167,Distrito Capital de Bogotá,Bogotá,Nacional,Salud y Protección Social
69,GOBERNACION DEL CAUCA,891580016,Cauca,Popayán,Territorial,Servicio Público
70,RAMA JUDICIAL DIRECCION SECCIONAL DE ADMINISTRACION JUDICIAL DE ARMENIA,800165939,Quindío,Armenia,Nacional,Ley de Justicia
71,CGA,811000372,Antioquia,Medellín,Territorial,Servicio Público
72,MUNICIPIO DE RIONEGRO,890907317,Antioquia,Rionegro,Territorial,Servicio Público
